Gisswitchgear_iri,switchgear-asset-identifier-code,rated-voltage-ur,name,country-of-installation,end-customer,LIPROGIS,switchgear-installation-location-type,switchgear-product-type,VDB-number
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10532_AU%3A+P-019738+B2215+NOR+AGDER+Frame+-+Evje,BMK,132.0,Evje,http://ontology.siemens.com/shared/geography/country/did/0.4#No,Agder Energi Nett AS,10532,Innen,8VN1-1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10536_AU%3A+P-019732+B2311+Tunnsjodal+8VN1,RFK,132.0,Tunnsjodal,http://ontology.siemens.com/shared/geography/country/did/0.4#No,Tensio TN AS,10536,Innen,8VN1-1,34252
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10568_AU%3A+P-019601+B2166+Praha-jih+CRE,BMK,123.0,Praha-jih,Prag CZ,,10568,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10573_AU%3A+P-019614+A7543+HKM+Duisburg+Erweiterung+-+Station+B,BMK,123.0,HKM Duisburg Erweiterung - Station B ,http://ontology.siemens.com/shared/geography/country/did/0.4#De,HKM Duisburg  ,10573,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10574_AU%3A+P-019788+B2366+Hackensack+69+kV+PSE%26G,RFK,725.0,HACKENSACK SUBSTATION ,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,PSE&G,10574,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10577_AU%3A+P-019853+B2424+Bossa+Ext+132+kV+-+ENDESA+%28REE%29,BMK,132.0,SUBESTACIÓN BOSSA,http://ontology.siemens.com/shared/geography/country/did/0.4#Es,ENDESA,10577,Innen,8dn85,34260
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10579_AU%3A+P-019790+B2383+UA+Schwanheim+400kV+%28FWH+S%C3%BCd%29,BMK,400.0,UA Schwanheim 400kV (FWH Süd),http://ontology.siemens.com/shared/geography/country/did/0.4#De,Amprion,10579,Innen,8dq1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10585_AU%3A+P-019882+B2458+ST+ESPINARDO+132+kV+-+IBERDROLA,BMK,132.0,ST ESPINARDO,http://ontology.siemens.com/shared/geography/country/did/0.4#Es,IBERDROLA,10585,Innen,8dn85,36404
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10587_AU%3A+P-019541+B2135-B2136+UW+Daxlanden+380kV+ab+OKT+2019,RFK,380.0,UW Daxlanden 380kV,http://ontology.siemens.com/shared/geography/country/did/0.4#De,TRANSNET BW,10587,Außen,8dq1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10589_AU%3A+P-020106+B2708+COURCELLES+B+380+kV+ELIA+BEL,RFK,380.0,COURCELLES B,http://ontology.siemens.com/shared/geography/country/did/0.4#Be,ELIA,10589,Innen,8DQ161,36534
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10591_AU%3A+P-020343+B2946+ENMAX+No+1+Substation+170+kV,RFK,170.0,ENMAX No 1 Substation,http://ontology.siemens.com/shared/geography/country/did/0.4#Ca,ENMAX,10591,Innen,8dn86,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10592_AU%3A+P-019599+B2160+Golden+Pass+69+kV_29-SWG69KV11,RFK,72.0,Golden Pass LNG Project,http://ontology.siemens.com/shared/geography/country/did/0.4#Us,Golden Pass LNG Terminal LLC,10592,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10596_AU%3A+P-019774+B2359+Al+Dhafra+PV2+400+kV,BMK,400.0,AL DHAFRA 400 kV,ABD,TRANSCO,10596,Innen,8dq1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10608_AU%3A+P-019945+B2205+Cerd%C3%A1+-+ENDESA+-+SPA,RFK,245.0,SUBESTACIÓN CERDÁ,http://ontology.siemens.com/shared/geography/country/did/0.4#Es,ENDESA,10608,,8dn92,33740
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10610_AU%3A+P-020505+A3430+LAS+ARROYADAS+220+kV+Ext+%3DD02+-+REE+-+SPA,BMK,220.0,SUBESTACIÓN DE LAS ARROYADAS 220 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Es,REE,10610,Innen,8dn92,35766
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10611_AU%3A+P-019771+-+B2361-B2362+-+MoEE-JICA+PHASE+II+-+PHAYARGYI-HLAINGTHARYAR,BMK,550.0,JICA PHASE II,MYA,MoEE,10611,Außen,8dq1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10614_AU%3A+P-019687+B2274+GS2+Substation+230%2B115kV+KHM,BMK,115.0,GS2 Substation ,http://ontology.siemens.com/shared/geography/country/did/0.4#Kh,Electricite du Cambodge,10614,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10617_AU%3A+P-019657+UW+Pongau,BMK,380.0,UW Pongau,,APG,10617,Außen,8DQ161,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10618_AU%3A+P-018851+B1986+DEU+UW+L%C3%B6ffingen,BMK,123.0,UW Löffingen 110/20 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#De,ED Netze,10618,Innen,8VN1-1,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10621_AU%3A+P-019524+B2149+Mabelah+South,BMK,132.0,Mabelah South,OMA,OETC,10621,Innen,8dn85,
http://infohub.siemens-energy.com/energy/transmission/switchgear/did/10637_AU%3A+P-020224+B2941+Zamosc+123+kV,BMK,132.0,Zamosc 123 kV,http://ontology.siemens.com/shared/geography/country/did/0.4#Pl,Polska Grupa Energetyczna S.A.,10637,Innen,8dn85,
